原字段	en	ja	ar	de	es	fr	pt	th	vi	zh-TW
You will meet someone who changes everything.	You will meet someone who changes everything.	あなたはすべてを変える人に出会うでしょう。	سوف تقابل شخصًا يغير كل شيء.	Sie werden jemanden treffen, der alles verändert.	Conocerás a alguien que lo cambia todo.	Vous allez rencontrer quelqu'un qui change tout.	Você vai conhecer alguém que muda tudo.	คุณจะได้พบกับคนที่เปลี่ยนแปลงทุกอย่าง	Bạn sẽ gặp một người thay đổi mọi thứ.	你會遇到一個改變一切的人。
You will find the person whose quiet strength is your emotional anchor.	You will find the person whose quiet strength is your emotional anchor.	あなたは、静かな強さがあなたの感情の錨である人を見つけるでしょう。	سوف تجد الشخص الذي تكون قوته الهادئة هي المرساة العاطفية.	Sie werden die Person finden, deren stille Stärke Ihr emotionaler Anker ist.	Encontrarás a la persona cuya fuerza silenciosa es tu ancla emocional.	Vous trouverez la personne dont la force tranquille est votre ancre émotionnelle.	Você encontrará a pessoa cuja força silenciosa é sua âncora emocional.	คุณจะพบคนที่มีความแข็งแกร่งอย่างเงียบ ๆ เป็นจุดยึดทางอารมณ์ของคุณ	Bạn sẽ tìm thấy người có sức  thầm lặng là mỏ neo tình cảm của bạn.	你會找到一個人，他的安靜力量是你的情感錨。
Zero work burnout	Zero work burnout	仕事での燃え尽き症候群ゼロ	صفر نضوب العمل	Null-Arbeits-Burnout	Cero agotamiento laboral	Zéro épuisement professionnel	Esgotamento de trabalho zero	ความเหนื่อยหน่ายในการทำงานเป็นศูนย์	Không làm việc kiệt sức	零工作倦怠
Significant annual bonus	Significant annual bonus	一年間の大きなボーナス	مكافأة سنوية كبيرة	Erheblicher Jahresbonus	Bono anual significativo	Bonus annuel important	Bônus anual significativo	โบนัสประจำปีที่สำคัญ	Tiền thưởng hàng năm đáng kể	可觀的年度獎金
Perfect side hustle	Perfect side hustle	完璧な副業	صخب جانبي مثالي	Perfekter Nebenerwerb	Ajetreo lateral perfecto	Agitation latérale parfaite	Agitação lateral perfeita	ความเร่งรีบด้านที่สมบูรณ์แบบ	Hoàn hảo bên hối hả	完美的側推
Career skill mastery	Career skill mastery	キャリアスキルの習得	المهارة المهنية إتقان	Beherrschung beruflicher Fähigkeiten	Dominio de habilidades profesionales	Maîtrise des compétences professionnelles	Domínio de habilidades de carreira	ความวชาญทักษะอาชีพ	Thành thạo kỹ năng nghề nghiệp	職業技能掌握
Daily smart spending	Daily smart spending	毎日のスマートな支出	الإنفاق الذكي اليومي	Tägliche intelligente Ausgaben	Gasto diario inteligente	Dépenses intelligentes quotidiennes	Gasto inteligente diário	การใช้จ่ายที่ชาญฉลาดทุกวัน	Chi tiêu thông minh hàng ngày	每日智能支出
Rome, Italy	Rome, Italy	ローマ,イタリア	روما, إيطاليا	Rom, Italien	Roma, Italia	Rome, Italie	Roma, Itália	โรม อิตาลี	Rome, Ý	羅馬，意大利
Kyoto, Japan	Kyoto, Japan	日本の京都	كيوتو ، اليابان	Kyoto, Japan	Kioto, Japón	Kyoto, Japon	Kyoto, Japão	เกียวโต ประเทศญี่ปุ่น	Kyoto, Nhật Bản	日本京都
Cairo, Egypt	Cairo, Egypt	カイロ,エジプト	القاهرة, مصر	Kairo, Ägypten	El Cairo, Egipto	Le Caire, Égypte	Cairo, Egito	ไคโร อียิปต์	Cairo, Ai Cập	埃及開羅
Athens, Greece	Athens, Greece	アテネ,ギリシャ	أثينا ، اليونان	Athen, Griechenland	Atenas, Grecia	Athènes, Grèce	Atenas, Grécia	เอเธนส์ กรีซ	Athens, Hy Lạp	Athens，希臘
Machu Picchu, Peru	Machu Picchu, Peru	マチュピチュ,ペルー	ماتشو بيتشو ، بيرو	Machu Picchu, Peru	Machu Picchu, Perú	Machu Picchu, Pérou	Machu Picchu, Peru	มาชูปิกชู เป	Machu Picchu, Peru	祕魯馬丘比丘
Focus	Focus	フォーカス	التركيز	Fokus	Enfoque	Focus	Foco	โฟกัส	Tập trung	聚焦
Launch	Launch	打ち上げ	إطلاق	Start	Lanzamiento	Lancement	Lançamento	เปิดตัว	Khởi động	發射
Execution	Execution	実行する	إعدام	Ausführung	Ejecución	Exécution	Execução	การดำเนินการ	Hành quyết	行刑
Mastery	Mastery	マスタリー	إتقان	Beherrschung	Maestría	Maîtrise	Maestria	ความวชาญ	Làm chủ	精通
Growth	Growth	成長	النمو	Wachstum	Crecimiento	Croissance	Crescimento	การเจริญเติบโต	Tăng trưởng	成長
"Your success lies in your infectious positivity. You find light in the darkest corners and share that warmth. Your enduring belief in a better tomorrow is a powerful force for change.
"	"Your success lies in your infectious positivity. You find light in the darkest corners and share that warmth. Your enduring belief in a better tomorrow is a powerful force for change.
"	"あなたの成功はあなたの伝染性のポジティブさにあります。あなたは最も暗い隅に光を見つけ、その暖かさを共有します。より良い明日へのあなたの永続的な信念は、変化のための強力な力です。
"	"نجاحك يكمن في إيجابيتك المعدية. تجد الضوء في أحلك الزوايا وتشارك هذا الدفء. إيمانك الدائم بغد أفضل هو قوة قوية للتغيير.
"	"Ihr Erfolg liegt in Ihrer ansteckenden Positivität. Sie finden Licht in den dunkelsten Ecken und teilen diese Wärme. Ihr beständiger Glaube an eine bessere Zukunft ist eine starke Kraft für Veränderungen.
"	"Tu éxito radica en tu positividad contagiosa. Encuentras luz en los rincones más oscuros y compartes esa calidez. Tu creencia duradera en un mañana mejor es una fuerza poderosa para el cambio.
"	"Votre succès réside dans votre positivité contagieuse. Vous trouvez la lumière dans les coins les plus sombres et partagez cette chaleur. Votre croyance durable en un avenir meilleur est une puissante force de changement.
"	"Seu sucesso está em sua positividade infecciosa. Você encontra luz nos cantos mais escuros e compartilha esse calor. Sua crença duradoura em um amanhã melhor é uma força poderosa para a mudança.
"	"ความสำเร็จของคุณอยู่ที่ความเป็นบวกที่ติดเชื้อของคุณ คุณพบแสงสว่างในมุมที่มืดที่สุดและแบ่งปันความอบอุ่นนั้น ความเชื่อที่ยั่งยืนของคุณในวันพรุ่งนี้ที่ดีกว่าคือพลังอันทรงพลังสำหรับการเปลี่ยนแปลง
"	"Thành công của bạn nằm ở sự tích cực truyền nhiễm của bạn. Bạn tìm thấy ánh sáng trong những góc tối nhất và chia sẻ sự ấm áp đó. Niềm tin lâu dài của bạn  một ngày mai tốt đẹp hơn là một động lực  mẽ để thay đổi.
"	"你的成功在於你具有感染力的積極。你在最黑暗的角落找到光明，分享溫暖。你對更美好明天的持久信念是變革的強大力量。
"
The Unplugged Decaf: You are perpetually tired, exist only for the ritual, and your presence changes nothing.	The Unplugged Decaf: You are perpetually tired, exist only for the ritual, and your presence changes nothing.	アンプラグド・デカフェ:あなたは永遠に疲れており、儀式のためだけに存在し、あなたの存在は何も変えません。	The Unplugged Decaf: أنت متعب دائمًا ، ولا توجد إلا من أجل الطقوس ، ولا يغير وجودك شيئًا.	Der Unplugged Decaf: Du bist ewig müde, existierst nur für das Ritual, und deine Anwesenheit ändert nichts.	El Desenchufado: Estás perpetuamente cansado, existes solo para el ritual y tu presencia no cambia nada.	Le décaféiné débranché : Vous êtes perpétuellement fatigué, n'existez que pour le rituel et votre présence ne change rien.	The Unplugged Descafeinado: Você está perpetuamente cansado, existe apenas para o ritual, e sua presença não muda nada.	Decaf ที่ถอดปลั๊ก: คุณเหนื่อยตลอดเวลา มีอยู่สำหรับพิธีกรรมเท่านั้น และการปรากฏตัวของคุณไม่เปลี่ยนแปลงอะไรเลย	Decaf rút phích : Bạn thường xuyên mệt mỏi, chỉ tồn tại cho nghi lễ và sự hiện diện của bạn không thay đổi gì.	不插電的無咖啡因咖啡：你永遠很累，只爲了儀式而存在，你的存在不會改變任何事情。
A loved one who has passed is still watching over you from heaven.	A loved one who has passed is still watching over you from heaven.	亡くなった愛する人がまだ天国からあなたを見守っています。	الحبيب الذي مات لا يزال يراقبك من السماء.	Ein geliebter Mensch, der verstorben ist, wacht immer noch vom Himmel über Sie.	Un ser querido que ha fallecido todavía te cuida desde el cielo.	Un être cher qui est décédé veille toujours sur vous depuis le ciel.	Um ente querido que já faleceu ainda está cuidando de você do céu.	คนที่คุณรักที่ผ่านไปยังคงเฝ้าดูคุณจากสวรรค์	Một người thân yêu đã qua đời vẫn đang dõi theo bạn từ thiên đường.	一個過世的愛人還在天堂守護着你。
A jealous friend who envies the light you carry.	A jealous friend who envies the light you carry.	あなたが持っている光を羨ましがる嫉妬深い友人。	صديق غيور يحسد النور الذي تحمله.	Ein eifersüchtiger Freund, der dich um das Licht beneidet, das du trägst.	Un amigo celoso que envidia la luz que llevas.	Un ami jaloux qui envie la lumière que vous portez.	Um amigo ciumento que inveja a luz que você carrega.	เพื่อนขี้หึงที่อิจฉาแสงที่คุณพกติดตัว	Một người bạn ghen tị ghen tị với ánh sáng bạn mang theo.	嫉妒你攜帶的光的嫉妒的朋友。
Pumpkin	Pumpkin	かぼちゃ	اليقطين	Kürbis	Calabaza	Citrouille	Abóbora	ฟักทอง	Bí ngô	南瓜
Scientists are baffled by the individual who can survive solely on the leftover energy from an empty cup of coffee for an entire work day.	Scientists are baffled by the individual who can survive solely on the leftover energy from an empty cup of coffee for an entire work day.	科学者たちは、一日中空のコーヒーカップから残ったエネルギーだけで生き残ることができる個人に困惑しています。	يشعر العلماء بالحيرة من الفرد الذي يمكنه البقاء على قيد الحياة فقط على الطاقة المتبقية من فنجان قهوة فارغ ليوم عمل كامل.	Wissenschaftler sind verblüfft über den Einzelnen, der einen ganzen Arbeitstag lang allein von der übrig gebliebenen Energie einer leeren Tasse Kaffee leben kann.	Los científicos están desconcertados por el individuo que puede sobrevivir únicamente con la energía sobrante de una taza de café vacía durante todo un día de trabajo.	Les scientifiques sont déconcertés par l'individu qui peut survivre uniquement avec l'énergie restante d'une tasse de café vide pendant toute une journée de travail.	Os cientistas ficam perplexos com o indivíduo que pode sobreviver apenas com a energia restante de uma xícara de café vazia por um dia inteiro de trabalho.	นักวิทยาศาสตร์้สึกงุนงงกับบุคคลที่สามารถอยู่รอดได้ด้วยพลังงานที่เหลือจากกาแฟเปล่าหนึ่งถ้วยตลอดทั้งวันทำงาน	Các nhà khoa học bị bối rối bởi cá nhân có thể sống sót chỉ bằng năng lượng còn sót lại từ một tách cà phê rỗng trong cả ngày làm việc.	科學家們感到困惑的是，一個人一整天都只能靠一杯空咖啡剩餘的能量生存。
A stranger will cross your path, bringing both mystery and a spark of love.	A stranger will cross your path, bringing both mystery and a spark of love.	見知らぬ人があなたの道を横切り、謎と愛の火花をもたらします。	سوف يعبر شخص غريب طريقك ، ويجلب لك الغموض وشرارة الحب.	Ein Fremder wird deinen Weg kreuzen und dir sowohl ein Geheimnis als auch einen Funken Liebe bringen.	Un extraño se cruzará en tu camino, trayendo misterio y una chispa de amor.	Un étranger croisera votre chemin, apportant à la fois du mystère et une étincelle d'amour.	Um estranho cruzará seu caminho, trazendo mistério e uma centelha de amor.	คนแปลกหน้าจะข้ามเส้นทางของคุณนำทั้งความลึกลับและประกายแห่งความรัก	Một người lạ sẽ băng qua con đường của bạn, mang lại cả bí ẩn và một tia sáng của tình yêu.	一個陌生人會穿過你的道路，帶來神祕和愛的火花。
The Shadow’s Whisper: you see what others hide, reading truth in silence and power in the unseen.	The Shadow’s Whisper: you see what others hide, reading truth in silence and power in the unseen.	影のささやき:あなたは他の人が隠しているものを見て、沈黙の中で真実を読み、見えないものに力を見出します。	همس الظل: ترى ما يخفيه الآخرون ، تقرأ الحقيقة في صمت وقوة في الغيب.	Das Flüstern des Schattens: Du siehst was andere sich verstecken, die Wahrheit in der Stille lesen und die Macht im Unsichtbaren.	El susurro de la sombra: ves lo que otros esconden, leyendo la verdad en silencio y el poder en lo invisible.	Le murmure de l'ombre : vous voyez ce que les autres cachent, lisant la vérité dans le silence et le pouvoir dans l'invisible.	O Sussurro da Sombra: você vê o que os outros escondem, lendo a verdade em silêncio e o poder no invisível.	เสียงกระซิบของเงา: คุณเห็นสิ่งที่คนอื่นซ่อน อ่านความจริงในความเงียบและอำนาจในสิ่งที่มองไม่เห็น	The Shadow 's Whisper: bạn thấy những gì người khác che giấu, đọc sự thật trong im lặng và quyền lực trong vô hình.	影子的低語：你看到別人隱藏的東西，在沉默中閱讀真理，在看不見的地方閱讀力量。
Vampire’s Burning Kiss	Vampire’s Burning Kiss	吸血鬼の燃えるキス	قبلة مصاص الدماء المحترقة	Der brennende Kuss des Vampirs	Beso Ardiente De Vampiro	Le baiser brûlant du vampire	Beijo Ardente Do Vampiro	จูบเผาแวมไพร์	Nụ hôn cháy bỏng của ma cà rồng	吸血鬼的燃燒之吻
I'm a Vampire	I'm a Vampire	私は吸血鬼です	انا مصاص دماء	Ich bin ein Vampir	Soy un vampiro	Je suis un vampire	Eu sou um vampiro	ฉันเป็นแวมไพร์	Tôi là ma cà rồng	我是吸血鬼
Pumpkin Lollipop:creative and a little dramatic, you love attention but give warmth in return.	Pumpkin Lollipop:creative and a little dramatic, you love attention but give warmth in return.	カボチャのロリポップ:創造的で少しドラマチック、あなたは注目を愛していますが、代わりに暖かさを与えます。	اليقطين المصاصة: خلاقة ودرامية بعض الشيء ، تحب الاهتمام ولكن تعطي الدفء في المقابل.	Pumpkin Lollipop: kreativ und ein wenig dramatisch, Sie lieben Aufmerksamkeit, geben aber Wärme zurück.	Piruleta de calabaza: creativa y un poco dramática, amas la atención pero das calidez a cambio.	Sucette à la citrouille : créative et un peu dramatique, vous aimez l'attention mais donnez de la chaleur en retour.	Pirulito de abóbora: criativo e um pouco dramático, você adora atenção, mas dá calor em troca.	ฟักทองอม: สร้างสรรค์และน่าทึ่งเล็กน้อยคุณรักความสนใจ แต่ให้ความอบอุ่นเป็นการตอบแทน	Pumpkin Lollipop: sáng tạo và một chút kịch tính, bạn thích sự chú ý nhưng đáp lại sự ấm áp.	南瓜棒棒糖：有創意，有點戲劇性，你喜歡關注，但回報是溫暖。
Haunted Fortune:luck comes and goes, but your charm keeps turning mishaps into magic.	Haunted Fortune:luck comes and goes, but your charm keeps turning mishaps into magic.	ホーンテッド・フォーチュン:運は来たり去ったりしますが、あなたの魅力は不運を魔法に変え続けます。	الحظ المسكون يأتي ويذهب ، لكن سحرك يستمر في تحويل الحوادث إلى سحر.	Haunted Fortune: Das Glück kommt und geht, aber dein Charme verwandelt Missgeschicke immer wieder in Magie.	Fortuna embrujada: la suerte va y viene, pero tu encanto sigue convirtiendo los percances en magia.	Fortune hantée : la chance va et vient, mais votre charme ne cesse de transformer les mésaventures en magie.	Sorte Assombrada: a sorte vem e vai, mas seu charme continua transformando contratempos em magia.	โชคลาภผีสิง: โชคมาและไป แต่เสน่ห์ของคุณยังคงเปลี่ยนอุบัติเหตุให้กลายเป็นเวทมนตร์	Vận may ma ám: vận may đến và đi, nhưng sự  của bạn cứ biến rủi ro thành ma thuật.	鬧鬼的財富：運氣來來去去，但你的魅力不斷把不幸變成魔法。
You’ve carried too much light for others; now, let the darkness teach you how to rest.	You’ve carried too much light for others; now, let the darkness teach you how to rest.	あなたは他人のためにあまりにも多くの光を運んできました。今、暗闇に休む方法を教えてもらいましょう。	لقد حملت الكثير من النور للآخرين. الآن ، دع الظلام يعلمك كيف ترتاح.	Du hast zu viel Licht für andere getragen; jetzt lass dich von der Dunkelheit lehren, wie man sich ausruht.	Has llevado demasiada luz para otros; ahora, deja que la oscuridad te enseñe a descansar.	Vous avez porté trop de lumière pour les autres ; maintenant, laissez les ténèbres vous apprendre à vous reposer.	Você carregou muita luz para os outros; agora, deixe a escuridão ensiná-lo a descansar.	คุณมีแสงสว่างมากเกินไปสำหรับผู้อื่น ตอนนี้ให้ความมืดสอนวิธีพักผ่อน	Bạn đã mang quá nhiều ánh sáng cho người khác; bây giờ, hãy để bóng tối dạy bạn cách nghỉ ngơi.	你爲別人帶來了太多的光明；現在，讓黑暗教你如何休息。
UNCANNY EMPATHY	UNCANNY EMPATHY	不気味なエンパシー	تعاطف قذر	UNKANNE EMPATHIE	EMPATÍA INCREÍBLE	EMPATHIE INCANNY	EMPATIA UNCANNY	UNANNY EMPATHY	CẢM XÚC BẤT NGỜ	難以捉摸的同情心
All your efforts will multiply in results, achieving goals sooner than expected.	All your efforts will multiply in results, achieving goals sooner than expected.	あなたのすべての努力は結果を増やし、予想よりも早く目標を達成するでしょう。	كل ما تبذلونه من جهود سوف تتضاعف في النتائج ، وتحقيق الأهداف في وقت أقرب مما كان متوقعا.	All Ihre Bemühungen werden sich in den Ergebnissen vervielfachen und die Ziele früher als erwartet erreichen.	Todos tus esfuerzos se multiplicarán en resultados, logrando metas antes de lo esperado.	Tous vos efforts se multiplieront en résultats, atteignant les objectifs plus tôt que prévu.	Todos os seus esforços se multiplicarão em resultados, alcançando metas antes do esperado.	ความพยายามทั้งหมดของคุณจะทวีคูณในผลลัพธ์ บรรลุเป้าหมายเร็วกว่าที่คาดไว้	Tất cả những nỗ lực của bạn sẽ nhân lên trong kết quả, đạt được mục tiêu sớm hơn dự kiến.	你所有的努力都會事半功倍，比預期更快地實現目標。
A hidden opportunity will finally reveal itself.	A hidden opportunity will finally reveal itself.	隠された機会がついに明らかになります。	فرصة خفية ستكشف عن نفسها في النهاية.	Eine verborgene Gelegenheit wird sich schließlich offenbaren.	Una oportunidad oculta finalmente se revelará.	Une opportunité cachée va enfin se révéler.	Uma oportunidade oculta finalmente se revelará.	โอกาสที่ซ่อนอยู่จะเปิดเผยตัวเองในที่สุด	Một cơ hội tiềm ẩn cuối cùng sẽ tự bộc lộ.	一個隱藏的機會最終會顯露出來。
The spontaneous adventurer who values shared laughter and new horizons will be your best partner.	The spontaneous adventurer who values shared laughter and new horizons will be your best partner.	共有された笑いと新しい地平を大切にする自発的な冒険家は、あなたの最高のパートナーになるでしょう。	سيكون المغامر العفوي الذي يقدر الضحك المشترك والآفاق الجديدة أفضل شريك لك.	Der spontane Abenteurer, der Wert auf gemeinsames Lachen und neue Horizonte legt, wird Ihr bester Partner sein.	El aventurero espontáneo que valora la risa compartida y los nuevos horizontes será tu mejor compañero.	L'aventurier spontané qui valorise le rire partagé et de nouveaux horizons sera votre meilleur partenaire.	O aventureiro espontâneo que valoriza o riso compartilhado e novos horizontes será seu melhor parceiro.	นักผจญภัยที่เกิดขึ้นเองซึ่งให้ความสำคัญกับเสียงหัวเราะร่วมกันและขอบฟ้าใหม่จะเป็นคู่หูที่ดีที่สุดของคุณ	Nhà thám hiểm tự phát coi trọng tiếng cười được chia sẻ và những chân trời mới sẽ là đối tác tốt nhất của bạn.	重視分享笑聲和新視野的自發冒險家將是你最好的夥伴。
Deeper family bond	Deeper family bond	より深い家族の絆	رابطة أسرية أعمق	Vertiefung der familiären Bindung	Vínculo familiar más profundo	Un lien familial plus profond	Vínculo familiar mais profundo	ความผูกพันในครอบครัวที่ลึกซึ้งยิ่งขึ้น	Mối quan hệ gia đình sâu sắc hơn	更深的家庭紐帶
New genuine friendships	New genuine friendships	新しい本物の友情	صداقات حقيقية جديدة	Neue echte Freundschaften	Nuevas amistades genuinas	De nouvelles amitiés authentiques	Novas amizades genuínas	มิตรภาพแท้ใหม่	Tình bạn chân chính mới	新的真正的友誼
Effortless social grace	Effortless social grace	楽な社会的優雅さ	نعمة اجتماعية بلا مجهود	Mühelose soziale Gnade	Gracia social sin esfuerzo	Grâce sociale sans effort	Graça social sem esforço	พระคุณทางสังคมอย่างง่ายดาย	Ân sủng xã hội dễ dàng	輕鬆的社交優雅
Conflict-free communication	Conflict-free communication	紛争のないコミュニケーション	التواصل الخالي من النزاعات	Konfliktfreie Kommunikation	Comunicación libre de conflictos	Communication sans conflit	Comunicação sem conflitos	การสื่อสารที่ปราศจากความขัดแย้ง	Giao tiếp không xung đột	無衝突溝通
Positive social impact	Positive social impact	ポジティブな社会的影響	الأثر الاجتماعي الإيجابي	Positive soziale Auswirkungen	Impacto social positivo	Impact social positif	Impacto social positivo	ผลกระทบทางสังคมในเชิงบวก	Tác động xã hội tích cực	積極的社會影響
Patagonia, Argentina	Patagonia, Argentina	パタゴニア,アルゼンチン	باتاغونيا ، الأرجنتين	Patagonien, Argentinien	Patagonia, Argentina	Patagonie, Argentine	Patagônia, Argentina	Patagonia อาร์เจนตินา	Patagonia, Argentina	阿根廷巴塔哥尼亞
Serengeti, Tanzania	Serengeti, Tanzania	セレンゲティ,タンザニア	سيرينغيتي ، تنزانيا	Serengeti, Tansania	Serengeti, Tanzania	Serengeti, Tanzanie	Serengeti, Tanzânia	เซเรนเกติ แทนซาเนีย	Serengeti, Tanzania	坦桑尼亞塞倫蓋蒂平原
Great Barrier Reef, Australia	Great Barrier Reef, Australia	グレートバリアリーフ,オーストラリア	الحاجز المرجاني العظيم ، أستراليا	Great Barrier Reef, Australien	Gran Barrera de Coral, Australia	Grande barrière de corail, Australie	Grande Barreira de Corais, Austrália	เกรท แบริเยร์ รีฟ ออสเตรเลีย	Rạn san hô Great Barrier, Úc	澳大利亞大堡礁
Iceland's Golden Circle	Iceland's Golden Circle	アイスランドのゴールデンサークル	الدائرة الذهبية في أيسلندا	Islands Goldener Kreis	Círculo Dorado de Islandia	Le cercle d'or de l'Islande	Círculo Dourado da Islândia	วงกลมทองคำของไอซ์แลนด์	Vòng tròn vàng của Iceland	冰島的黃金圈
Amazon Rainforest, Brazil	Amazon Rainforest, Brazil	Amazon Rainforest(ブラジル)	غابات الأمازون المطيرة ، البرازيل	Amazonas-Regenwald, Brasilien	Selva Amazónica, Brasil	Forêt amazonienne, Brésil	Floresta Amazônica, Brasil	ป่าฝนอเมซอน ประเทศบราซิล	Rừng nhiệt đới Amazon, Brazil	亞馬遜雨林，巴西
Savings	Savings	貯蓄	المدخرات	Einsparungen	Ahorros	Économies	Poupança	ออมทรัพย์	Tiết kiệm	儲蓄
Budget	Budget	予算	الميزانية	Haushalt	Presupuesto	Budget	Orçamento	งบประมาณ	Ngân sách	預算
Streamline	Streamline	ストリームライン	تبسيط	Stromlinie	Streamline	Rationaliser	Simplificar	คล่องตัว	Hợp lý hóa	精簡
Discipline	Discipline	しつけ	الانضباط	Disziplin	Disciplina	Discipline	Disciplina	วินัย	Kỷ luật	紀律
Optimize	Optimize	最適化する	تحسين	Optimieren	Optimice	Optimiser	Otimizar	เพิ่มประสิทธิภาพ	Tối ưu hóa	優化
"Your greatest triumph is deep, not loud. You are a catalyst, guiding others toward their potential without seeking the spotlight. Your achievement is measured by the growth and success stories you inspire.
"	"Your greatest triumph is deep, not loud. You are a catalyst, guiding others toward their potential without seeking the spotlight. Your achievement is measured by the growth and success stories you inspire.
"	"あなたの最大の勝利は深く、大声ではありません。あなたは触媒であり、スポットライトを求めることなく他の人を彼らの可能性に導きます。あなたの成果は、あなたがインスピレーションを与える成長と成功の物語によって測定されます。
"	"انتصارك الأعظم عميق وليس بصوت عالٍ. أنت محفز ، وتوجه الآخرين نحو إمكاناتهم دون السعي إلى تسليط الضوء. يقاس إنجازك بقصص النمو والنجاح التي تلهمك.
"	"Ihr größter Triumph ist tief, nicht laut. Sie sind ein Katalysator, der andere zu ihrem Potenzial führt, ohne das Rampenlicht zu suchen. Ihre Leistung wird an dem Wachstum und den Erfolgsgeschichten gemessen, die Sie inspirieren.
"	"Tu mayor triunfo es profundo, no ruidoso. Eres un catalizador, guiando a otros hacia su potencial sin buscar el centro de atención. Tu logro se mide por las historias de crecimiento y éxito que inspiras.
"	"Votre plus grand triomphe est profond, pas bruyant. Vous êtes un catalyseur, guidant les autres vers leur potentiel sans chercher les projecteurs. Votre réussite est mesurée par la croissance et les réussites que vous inspirez.
"	"Seu maior triunfo é profundo, não barulhento. Você é um catalisador, guiando os outros em direção ao seu potencial sem buscar os holofotes. Sua conquista é medida pelo crescimento e histórias de sucesso que você inspira.
"	"ชัยชนะที่ยิ่งใหญ่ที่สุดของคุณนั้นลึกไม่ดัง คุณเป็นตัวเร่งปฏิกิริยานำทางผู้อื่นไปสู่ศักยภาพของพวกเขาโดยไม่ต้องมองหาสปอตไลท์ ความสำเร็จของคุณวัดจากเรื่องราวการเติบโตและความสำเร็จที่คุณสร้างแรงบันดาลใจ
"	"Chiến thắng lớn nhất của bạn là sâu sắc, không ồn ào. Bạn là chất xúc tác, hướng dẫn người khác hướng tới tiềm năng của họ mà không cần tìm kiếm sự chú ý. Thành tích của bạn được đo lường bằng sự phát triển và câu chuyện thành công mà bạn truyền cảm hứng.
"	"你最大的勝利是深刻的，而不是響亮的。你是催化劑，引導他人走向他們的潛力，而不是尋求聚光燈。你的成就是由你激發的成長和成功故事來衡量的。
"
The Quad-Shot Espresso: You speak at 3x speed, require a safety harness, and scare people before 9 AM.	The Quad-Shot Espresso: You speak at 3x speed, require a safety harness, and scare people before 9 AM.	クアッドショットエスプレッソ:あなたは3倍速で話し、安全ハーネスが必要で、午前9時までに人々を怖がらせます。	إسبرسو Quad-Shot: أنت تتحدث بسرعة 3x ، وتحتاج إلى حزام أمان ، وتخيف الناس قبل الساعة 9 صباحًا.	Der Quad-Shot Espresso: Sie sprechen mit 3x Geschwindigkeit, benötigen einen Sicherheitsgurt und erschrecken Leute vor 9 Uhr morgens.	El Espresso Quad-Shot: Hablas a una velocidad 3x, requieres un arnés de seguridad y asustas a la gente antes de las 9 AM.	L'espresso Quad-Shot : Vous parlez à une vitesse 3x, avez besoin d'un harnais de sécurité et effrayez les gens avant 9 heures du matin.	O Quad-Shot Espresso: Você fala em velocidade 3x, requer um cinto de segurança e assusta as pessoas antes das 9h.	เอสเพรสโซ่ Quad-Shot: คุณพูดด้วยความเร็ว 3 เท่า ต้องใช้สายรัดนิรภัย และทำให้ผู้คนหวาดกลัวก่อน 9.00 น.	Quad-Shot Espresso: Bạn nói với tốc độ gấp 3 lần, yêu cầu dây an toàn và khiến mọi người sợ hãi trước 9 giờ sáng.	Quad-Shot Espresso：你以3倍的速度說話，需要安全帶，並在上午9點前嚇唬人。
A loyal animal spirit walks beside you, keeping you safe in silence.	A loyal animal spirit walks beside you, keeping you safe in silence.	忠実な動物の精霊があなたのそばを歩き、静かにあなたを守ります。	تسير بجانبك روح حيوانية مخلصة ، مما يحافظ على سلامتك في صمت.	Ein treuer Tiergeist geht neben dir her und beschützt dich in der Stille.	Un espíritu animal leal camina a tu lado, manteniéndote a salvo en silencio.	Un esprit animal loyal marche à vos côtés, vous gardant en sécurité en silence.	Um espírito animal leal caminha ao seu lado, mantendo-o seguro em silêncio.	วิญญาณสัตว์ที่ซื่อสัตย์เดินเคียงข้างคุณ ทำให้คุณปลอดภัยในความเงียบ	Một linh hồn động vật trung thành đi bên cạnh bạn, giữ cho bạn an toàn trong im lặng.	一個忠誠的動物精神走在你身邊，在沉默中保護你的安全。
Someone at work who hides their dislike behind polite smiles.	Someone at work who hides their dislike behind polite smiles.	丁寧な笑顔で嫌悪感を隠す職場の人。	شخص في العمل يخفي كراهيته وراء ابتسامات مهذبة.	Jemand bei der Arbeit, der seine Abneigung hinter höflichem Lächeln verbirgt.	Alguien en el trabajo que esconde su aversión detrás de sonrisas educadas.	Quelqu'un au travail qui cache son aversion derrière des sourires polis.	Alguém no trabalho que esconde sua antipatia atrás de sorrisos educados.	คนที่ทำงานที่ซ่อนความไม่ชอบไว้เบื้องหลังรอยที่สุภาพ	Một người nào đó ở nơi làm việc che giấu sự không thích của họ đằng sau nụ cười lịch sự.	工作中用禮貌的微笑來掩飾厭惡的人。
Bunny	Bunny	バニー	الأرنب	Hase	Conejito	Lapin	Coelho	กระต่าย	Thỏ	兔子
