LOL 😂 You turned into corn!,LOL 😂 You turned into corn!,笑😂トウモロコシになった!,لول 😂 لقد تحولت إلى ذرة!,LOL 😂 Du hast dich in Mais verwandelt!,LOL 😂 ¡Te convertiste en maíz!,LOL 😂 Tu t'es transformé en maïs!,LOL 😂 Você virou milho!,LOL😂 คุณกลายเป็นข้าวโพด!,LOL - Liên minh huyền thoại 😂 Bạn đã biến thành ngô!,LOL😂你變成玉米了！,,,,,,,,,
Touch the picture to see what you are like in love.,Touch the picture to see what you are like in love.,あなたが恋をしている様子を見るには、写真をタッチしてください。,المس الصورة لترى ما أنت عليه في الحب.,"Berühren Sie das Bild, um zu sehen was Sie verliebt sind.",Toca la imagen para ver cómo estás enamorado.,Touchez l'image pour voir à quoi vous ressemblez en amour.,Toque na imagem para ver como você é apaixonado.,แตะภาพเพื่อดูว่าคุณเป็นอย่างไรในความรัก,Chạm  bức tranh để xem bạn đang yêu như thế nào.,觸摸圖片，看看你在愛情中是什麼樣子。,,,,,,,,,
Touch the Trophy And See What Award You’d Win.😂,Touch the Trophy And See What Award You’d Win.😂,トロフィーに触れて、どんな賞を受賞するか見てみましょう。😂,المس الكأس وشاهد الجائزة التي ستفوز بها.😂,"Berühren Sie die Trophäe und sehen Sie Was Preis, den Sie gewinnen würden.😂",Toca el trofeo y mira qué premio ganarías.😂,Touchez le trophée et voyez quel prix vous gagneriez.😂,Toque no Troféu E Veja Qual Prêmio Você Ganharia.😂,สัมผัสถ้วยรางวัลและดูว่าคุณจะได้รับรางวัลอะไร😂,Chạm  chiếc cúp và xem bạn sẽ giành được giải thưởng nào.😂,觸摸獎盃，看看你會贏得什麼獎項。😂,,,,,,,,,
"How Dramatic Are You, Really?","How Dramatic Are You, Really?",いかにドラマチックなのか、本当に?,ما مدى دراماتيكية أنت حقًا ؟,Wie dramatisch sind Sie wirklich?,"¿Qué Tan Dramático Eres, De Verdad?","À quel point es-tu dramatique, vraiment?","Quão Dramático Você É, Realmente?",คุณน่าทึ่งแค่ไหนจริงเหรอ?,"Bạn ấn tượng như thế nào, thực sự?",你有多戲劇化，真的嗎？,,,,,,,,,
😂 If you were a Asado  on the grill…,😂 If you were a Asado  on the grill…,😂 もしグリルの上のアサードだったら...,😂 إذا كنت أسادو على الشواية...,😂 Wenn du ein Asado auf dem Grill wärst..,😂 Si fueras un Asado a la parrilla...,😂 Si tu étais un Asado sur le gril...,😂 Se você fosse um Asado na grelha...,😂 หากคุณเป็น Asado บนตะแกรง..,😂 Nếu bạn là một Asado trên vỉ nướng...,😂 如果你是烤架上的Asado…,,,,,,,,,
Choose a beauty to discover your love style.😏,Choose a beauty to discover your love style.😏,あなたの愛のスタイルを発見するために美しさを選択してください。😏,اختر جمالًا لاكتشاف أسلوب حبك.😏,"Wählen Sie eine Schönheit, um Ihren Liebesstil zu entdecken.😏",Elige una belleza para descubrir tu estilo de amor.😏,Choisissez une beauté pour découvrir votre style d'amour.😏,Escolha uma beleza para descobrir seu estilo de amor.😏,เลือกความงามเพื่อค้นพบสไตล์ความรักของคุณ😏,Chọn một người đẹp để khám phá phong cách tình yêu của bạn.😏,選擇一個美女來發現你的愛情風格。😏,,,,,,,,,
"Tap the Coffee to Discover Your Work Personality.
","Tap the Coffee to Discover Your Work Personality.
","コーヒーをタップして、あなたの仕事のパーソナリティを発見しましょう。
","اضغط على القهوة لاكتشاف شخصية عملك.
","Tippen Sie auf den Kaffee, um Ihre Arbeitspersönlichkeit zu entdecken.
","Toca el café para descubrir tu personalidad laboral.
","Appuyez sur le café pour découvrir votre personnalité professionnelle.
","Toque no café para descobrir sua personalidade profissional.
","แตะกาแฟเพื่อค้นพบบุคลิกภาพการทำงานของคุณ
","Nhấn  cà phê để khám phá tính cách công việc của bạn.
","輕敲咖啡，發現你的工作個性。
",,,,,,,,,
Which Place Is the Home of Your Soul?,Which Place Is the Home of Your Soul?,あなたの魂の故郷はどこですか?,أي مكان هو منزل روحك ؟,Welcher Ort ist die Heimat Ihrer Seele?,¿Qué Lugar Es El Hogar De Tu Alma?,Quel endroit est la maison de votre âme?,Qual Lugar É O Lar Da Sua Alma?,บ้านแห่งจิตวิญญาณของคุณอยู่ที่ไหน?,Nơi nào là ngôi nhà của tâm hồn bạn?,哪個地方是你靈魂的家園？,,,,,,,,,
Touch the Parrot  to See Which Spirit Animal Protects You.,Touch the Parrot  to See Which Spirit Animal Protects You.,オウムに触れて、どのスピリットアニマルがあなたを守っているかを確認してください。,المس الببغاء لترى أي حيوان روح يحميك.,"Berühre den Papagei, um zu sehen, welches Geisttier dich beschützt.",Toca el loro para ver qué animal espiritual te protege.,Touchez le perroquet pour voir quel animal spirituel vous protège.,Toque no papagaio para ver qual animal espiritual o protege.,สัมผัสนกแก้วเพื่อดูว่าสัตว์วิญญาณตัวใดปกป้องคุณ,Chạm  con vẹt để xem linh vật nào bảo vệ bạn.,觸摸鸚鵡，看看哪種精神動物保護你。,,,,,,,,,
Tap the Water in the Desert.What Will You Receive?,Tap the Water in the Desert.What Will You Receive?,砂漠の水をタップしてください。あなたは何を受け取りますか?,اضغط على الماء في الصحراء ، ماذا ستحصل ؟,Tippen Sie auf das Wasser in der Wüste. Was erhalten Sie?,Toca el agua en el desierto. ¿Qué recibirás?,"Tapez l'eau dans le désert, que recevrez-vous?",Toque na água do deserto. O que você receberá?,แตะน้ำในทะเลทราย คุณจะได้อะไร,Chạm  nước trong sa mạc. Bạn sẽ nhận được gì?,在沙漠中自來水。你會得到什麼？,,,,,,,,,
"Cursed by an Andes Wizard.Dare to See?
","Cursed by an Andes Wizard.Dare to See?
","アンデスの魔法使いに呪われています。見る勇気はありますか?
","ملعون من قبل ساحر الأنديز. هل تجرؤ على الرؤية ؟
","Verflucht von einem Anden-Zauberer. Wage es zu sehen?
","Maldecido por un mago andino. ¿Atrévete a ver?
","Maudit par un sorcier des Andes, osez voir?
","Amaldiçoado por um mago dos Andes. Ousa ver?
","ถูกสาปโดยพ่อมด Andes กล้าที่จะเห็น?
","Bị nguyền rủa bởi một phù thủy Andes. Bạn có dám nhìn thấy không?
","被安第斯巫師詛咒。敢看嗎？
",,,,,,,,,
Which Wine Matches Your Love Life?,Which Wine Matches Your Love Life?,あなたの恋愛生活に合ったワインはどれですか?,أي نبيذ يطابق حياتك العاطفية ؟,Welcher Wein passt zu Ihrem Liebesleben?,¿Qué vino coincide con tu vida amorosa?,Quel vin correspond à votre vie amoureuse?,Qual Vinho Combina Com Sua Vida Amorosa?,ไวน์ชนิดใดที่ตรงกับชีวิตรักของคุณ?,Rượu nào phù hợp với cuộc sống tình yêu của bạn?,哪種葡萄酒適合你的愛情生活？,,,,,,,,,
Touch the Message in a Bottle to See What Does the Ocean Bring You?,Touch the Message in a Bottle to See What Does the Ocean Bring You?,ボトルの中のメッセージに触れて、海があなたにもたらすものを見てみましょう。,المس الرسالة في زجاجة لترى ماذا يجلب لك المحيط ؟,"Berühren Sie die Botschaft in einer Flasche, um zu sehen Was bringt Ihnen der Ozean?",Toca el mensaje en una botella para ver qué te trae el océano.,Touchez le message dans une bouteille pour voir ce que l'océan vous apporte?,Toque na mensagem em uma garrafa para ver o que o oceano traz para você?,แตะข้อความในขวดเพื่อดูว่ามหาสมุทรนำอะไรมาให้คุณ?,Chạm  thông điệp trong chai để xem đại dương mang lại cho bạn điều gì?,觸摸瓶子裏的信息，看看海洋給你帶來了什麼？,,,,,,,,,
So hot!🥵Touch the heart to reveal who likes you.,So hot!🥵Touch the heart to reveal who likes you.,とても暑い!🥵誰があなたを好きかを明らかにするために心に触れてください。,حار جدا! 🥵 المس القلب لتكشف من يحبك.,"So heiß! 🥵Berühre das Herz, um zu zeigen, wer dich mag.",¡Muy caliente! 🥵Toca el corazón para revelar a quién le gustas.,Tellement chaud! 🥵Touchez le cœur pour révéler qui vous aime.,Tão quente! 🥵Toque o coração para revelar quem gosta de você.,ร้อนแรง! 🥵แตะหัวใจเพื่อเปิดเผยว่าใครชอบคุณ,Thật ! 🥵Chạm  trái tim để tiết lộ ai thích bạn.,好熱！🥵摸摸心臟，透露誰喜歡你。,,,,,,,,,
Who will find you first…,Who will find you first…,誰が最初にあなたを見つけるのか…,من سيجدك أولاً...,Wer wird Sie zuerst finden..,¿Quién te encontrará primero?...,Qui vous trouvera en premier,Quem vai te encontrar primeiro...,ใครจะพบคุณก่อน..,Ai sẽ tìm thấy bạn đầu tiên...,誰會先找到你…,,,,,,,,,
The Virgin’s light reveals your destiny.,The Virgin’s light reveals your destiny.,聖母の光があなたの運命を明らかにします。,نور العذراء يكشف عن مصيرك.,Das Licht der Jungfrau offenbart dein Schicksal.,La luz de la Virgen revela tu destino.,La lumière de la Vierge révèle votre destin.,A luz da Virgem revela o seu destino.,แสงของพระแม่มารีเผยให้เห็นชะตากรรมของคุณ,Ánh sáng của  tiết lộ số phận của bạn.,聖母之光揭示了你的命運。,,,,,,,,,
"From the field to the fire, every corn tells a human story.","From the field to the fire, every corn tells a human story.",畑から火まで、すべてのトウモロコシは人間の物語を語っています。,من الحقل إلى النار ، كل ذرة تحكي قصة بشرية.,Vom Feld bis zum Feuer erzählt jeder Mais eine menschliche Geschichte.,"Desde el campo hasta el fuego, cada maíz cuenta una historia humana.","Du champ au feu, chaque maïs raconte une histoire humaine.","Do campo ao fogo, cada milho conta uma história humana.",จากทุ่งสู่กองไฟ ข้าวโพดทุกลูกบอกเล่าเรื่องราวของมนุษย์,"Từ cánh đồng đến ngọn lửa, mỗi bắp ngô đều kể một câu chuyện của con người.",從田野到大火，每一顆玉米都訴說着一個人間故事。,,,,,,,,,
"Are you leading, following, or lost in the rhythm?","Are you leading, following, or lost in the rhythm?",あなたはリードしていますか、フォローしていますか、それともリズムに迷っていますか?,هل تقود أو تتبع أو تضيع في الإيقاع ؟,"Führen, folgen oder verlieren Sie sich im Rhythmus?","¿Estás liderando, siguiendo o perdido en el ritmo?","Êtes-vous leader, suiveur ou perdu dans le rythme?","Você está liderando, seguindo ou perdido no ritmo?",คุณเป็นผู้นำ ติดตาม หรือแพ้ในจังหวะหรือไม่?,"Bạn đang dẫn đầu, theo dõi hay lạc nhịp?",你是在節奏中領先、跟隨還是迷失？,,,,,,,,,
Your vibe decides your prize.,Your vibe decides your prize.,あなたの雰囲気があなたの賞品を決定します。,أجواءك تقرر جائزتك.,Ihre Stimmung entscheidet über Ihren Preis.,Tu vibra decide tu premio.,Votre ambiance décide de votre prix.,Sua vibração decide seu prêmio.,บรรยากาศของคุณตัดสินรางวัลของคุณ,Sự rung cảm của bạn quyết định giải thưởng của bạn.,你的氛圍決定你的獎品。,,,,,,,,,
Find out if your life belongs on a stage or a soap opera.,Find out if your life belongs on a stage or a soap opera.,あなたの人生が舞台やテレビドラマにふさわしいかどうかを調べてください。,اكتشف ما إذا كانت حياتك تنتمي إلى مسرح أو مسلسل تلفزيوني.,"Finden Sie heraus, ob Ihr Leben auf eine Bühne oder eine Seifenoper gehört.",Averigua si tu vida pertenece a un escenario o a una telenovela.,Découvrez si votre vie appartient à une scène ou à un feuilleton.,Descubra se sua vida pertence a um palco ou novela.,ค้นหาว่าชีวิตของคุณอยู่บนเวทีหรือละครโทรทัศน์,Tìm hiểu xem cuộc sống của bạn thuộc về một sân khấu hay một vở opera xà phòng.,看看你的生活是屬於舞臺還是肥皂劇。,,,,,,,,,
What would you be?,What would you be?,あなたは何になりますか?,ماذا ستكون ؟,Was wären Sie?,¿Qué serías?,Que seriez-vous?,O que você seria?,คุณจะเป็นอะไร,Bạn sẽ là gì?,你會是什麼？,,,,,,,,,
Which love style describes yours?,Which love style describes yours?,あなたの愛のスタイルは何ですか?,أي أسلوب حب يصف لك ؟,Welcher Liebesstil beschreibt Ihren?,¿Qué estilo de amor describe el tuyo?,Quel style d'amour décrit le vôtre?,Qual estilo de amor descreve o seu?,สไตล์ความรักแบบไหนที่อธิบายถึงคุณ?,Phong cách tình yêu nào mô tả của bạn?,哪種愛情風格描述了你的？,,,,,,,,,
Your coffee choice reveals how you survive the office jungle.,Your coffee choice reveals how you survive the office jungle.,あなたのコーヒーの選択は、オフィスのジャングルを生き残る方法を示しています。,يكشف اختيارك للقهوة كيف تنجو من غابة المكتب.,"Ihre Kaffeewahl verrät, wie Sie im Bürodschungel überleben.",Tu elección de café revela cómo sobrevives a la jungla de la oficina.,Votre choix de café révèle comment vous survivez à la jungle du bureau.,Sua escolha de café revela como você sobrevive à selva do escritório.,การเลือกกาแฟของคุณเผยให้เห็นว่าคุณอยู่รอดในป่าสำนักงานได้อย่างไร,Lựa chọn cà phê của bạn tiết lộ cách bạn sống sót trong rừng văn phòng.,你的咖啡選擇揭示了你如何在辦公室叢林中生存。,,,,,,,,,
Follow your heart — it knows where you truly belong.,Follow your heart — it knows where you truly belong.,あなたの心に従ってください-それはあなたが本当に属する場所を知っています。,اتبع قلبك - فهو يعرف المكان الذي تنتمي إليه حقًا.,"Folgen Sie Ihrem Herzen - es weiß, wo Sie wirklich hingehören.","Sigue a tu corazón, sabe a dónde perteneces realmente.",Suivez votre cœur - il sait où vous appartenez vraiment.,Siga seu coração ele sabe onde você realmente pertence.,ทำตามหัวใจของคุณ - มัน้ว่าคุณอยู่ที่ไหนอย่างแท้จริง,Làm theo trái tim của bạn - nó biết nơi bạn thực sự thuộc về.,跟隨你的心——它知道你真正屬於哪裏。,,,,,,,,,
Every soul has a guide…,Every soul has a guide…,すべての魂には導きがあります。,لكل نفس دليل...,Jede Seele hat einen Führer..,Cada alma tiene un guía...,Chaque âme a un guide...,Toda alma tem um guia...,ทุกวิญญาณมีไกด์..,Mỗi linh hồn đều có một người hướng dẫn...,每個靈魂都有一個嚮導…,,,,,,,,,
"Even in the driest moments, a single drop can transform your life.","Even in the driest moments, a single drop can transform your life.",最も乾燥した瞬間でも、一滴でもあなたの人生を変えることができます。,حتى في أكثر اللحظات جفافاً ، يمكن لقطرة واحدة أن تغير حياتك.,Selbst in den trockensten Momenten kann ein einziger Tropfen Ihr Leben verändern.,"Incluso en los momentos más secos, una sola gota puede transformar tu vida.","Même dans les moments les plus secs, une seule goutte peut transformer votre vie.","Mesmo nos momentos mais secos, uma única gota pode transformar sua vida.",แม้ในช่วงเวลาที่แห้งแล้งที่สุด หยดเดียวก็สามารถเปลี่ยนชีวิตคุณได้,"Ngay cả trong những khoảnh khắc khô hạn nhất, một giọt có thể biến đổi cuộc sống của bạn.",即使在最乾燥的時刻，一滴水也能改變你的生活。,,,,,,,,,
"The curse reveals truths about your life,are you ready to face them?","The curse reveals truths about your life,are you ready to face them?",呪いはあなたの人生についての真実を明らかにします。あなたはそれらに立ち向かう準備ができていますか?,اللعنة تكشف حقائق عن حياتك ، هل أنت مستعد لمواجهتها ؟,"Der Fluch offenbart Wahrheiten über Ihr Leben, sind Sie bereit, sich ihnen zu stellen?","La maldición revela verdades sobre tu vida, ¿estás listo para enfrentarlas?","La malédiction révèle des vérités sur votre vie, êtes-vous prêt à y faire face?","A maldição revela verdades sobre sua vida, você está pronto para enfrentá-las?",คำสาปเผยให้เห็นความจริงเกี่ยวกับชีวิตของคุณ คุณพร้อมที่จะเผชิญหน้ากับพวกเขาหรือไม่?,"Lời nguyền tiết lộ sự thật về cuộc sống của bạn, bạn đã sẵn sàng đối mặt với chúng chưa?",詛咒揭示了你生活的真相，你準備好面對它們了嗎？,,,,,,,,,
Discover the flavor of your heart.,Discover the flavor of your heart.,あなたの心の味を発見してください。,اكتشف نكهة قلبك.,Entdecken Sie den Geschmack Ihres Herzens.,Descubre el sabor de tu corazón.,Découvrez la saveur de votre cœur.,Descubra o sabor do seu coração.,ค้นพบรสชาติของหัวใจของคุณ,Khám phá hương vị của trái tim bạn.,發現你內心的味道。,,,,,,,,,
What wisdom or blessings reach you today?,What wisdom or blessings reach you today?,今日、どんな知恵や祝福があなたに届きますか?,ما هي الحكمة أو النعم التي تصل إليك اليوم ؟,Was Weisheit oder Segen erreichen Sie heute?,¿Qué sabiduría o bendiciones te llegan hoy?,Quelle sagesse ou bénédictions vous parviennent aujourd'hui?,Que sabedoria ou bênçãos chegam até você hoje?,วันนี้คุณมีสติปัญญาหรือพรอะไรบ้าง?,Những gì khôn ngoan hoặc phước lành đến với bạn ngày hôm nay?,今天你得到了什麼智慧或祝福？,,,,,,,,,
What kind of person will love you?,What kind of person will love you?,あなたを愛してくれる人はどんな人ですか?,أي نوع من الأشخاص سيحبك ؟,Was Art von Mensch wird Sie lieben?,¿Qué tipo de persona te amará?,Quel genre de personne va t'aimer?,Que tipo de pessoa vai te amar?,คนแบบไหนที่จะรักคุณ,Loại người nào sẽ yêu bạn?,什麼樣的人會愛你？,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,
