类别,序号,模板原图,封面图,标签文案（英文）,主标题（英文）,副标题（英文）,hot,new,文案1,文案2,文案3,文案4,文案5
M,-3,female_test_entertainment4,cover_female_test_entertainment4,entertainment,Will Your Idol Notice You? ✨💖,What Are the Odds Your Fave Will See Your Comment?,0,0,"Your comment shines—witty, heartfelt, perfectly timed!",Almost there! Add creativity and keep engaging.,"Tough crowd, but your passion keeps you shining.","No reply yet, but your love fuels their success.",Your heartfelt comment becomes a social media manager's highlight!
O,-3,female_test_entertainment5,cover_female_test_entertainment5,entertainment,Reality TV You! 🎬✨ Which Star Archetype? 🤩,What Role Would You Play in the Unscripted Drama?,0,0,"The Witty Confessional King/Queen.You deliver hilarious, sharp, and sarcastic commentary.",The Unexpected Peacemaker & Voice of Reason.Calm mediator bringing sense amid the chaos.,"The Lovable Underdog Everyone Roots For.Quiet start, but your heart wins the audience.","The Strategic Mastermind (Low-Key Villain?).Playing smart, always steps ahead, stirring drama.","You're the background snack seeker, avoiding drama effortlessly."
G,-101,male_brazil_daliy10,cover_male_brazil_daliy10,Daily,Whatholiday are you?🎊,Loading... 🇧🇷,0,0,,,,,
F,-6,male_brazil_daliy11,cover_male_brazil_daliy11,Daily,When you are 70 years old…,What will you do... 🌴,0,0,,,,,
G,-99,male_brazil_daliy12,cover_male_brazil_daliy12,Daily,Your Ultimate Fan? ⚽️❤️,She is in your heart…,0,0,,,,,
G,-6,male_brazil_daliy13,cover_male_brazil_daliy13,Daily,Your True Love Is... 💘,Destiny is swiping right... ✨,0,0,,,,,
G,-6,male_brazil_daliy14,cover_male_brazil_daliy14,Daily,What's Your Sexiest Feature? 😉,The secret's out... ✨,0,0,,,,,
I,-101,male_Indonesia_daliy15,cover_male_Indonesia_daliy15,Daily,Which Sambal Personality Are You? 🌶️,Time to reveal your inner spice... 🔥,0,0,,,,,
G,-99,male_Indonesia_daliy16,cover_male_Indonesia_daliy16,Daily,What's on Your Menu Today? 🍽️,Your culinary calling is... 🇮🇩,0,0,,,,,
F,-100,female_brazil_parenting1,cover_female_brazil_parenting1,Parenting,Baby on Board? 🎉,A joyful surprise awaits.,0,0,,,,,
G,-6,female_brazil_parenting2,cover_female_brazil_parenting2,Parenting,Future Family Count? 👨‍👩‍👧‍👦,Peek into your baby boom.,0,0,,,,,
H,-100,female_brazil_parenting3,cover_female_brazil_parenting3,Parenting,Whispers from the Future… 🍼,Hear what your child wants to say.,0,0,,,,,
F,-6,female_brazil_parenting4,cover_female_brazil_parenting4,Parenting,Your Baby's True Colors 🌈,A peek into their little soul.,0,0,,,,,
F,-6,female_brazil_parenting5,cover_female_brazil_parenting5,Parenting,"Like Parent, Like Child? 👶❤️",The traits you both share.,0,0,,,,,
G,-6,male_brazil_daliy1,cover_male_brazil_daliy1,Daily,July's Surprises Await! ☀️,our summer tale begins.,0,0,,,,,
G,-6,male_brazil_daliy2,cover_male_brazil_daliy2,Daily,What's Your Next Ride? 🏎️,Your life's GPS is recalculating... 🧭,0,1,,,,,
I,-6,male_brazil_daliy3,cover_male_brazil_daliy3,Daily,Guess Your Love's First Letter 💖,Fate is scripting their story.,0,0,,,,,
G,-6,male_brazil_daliy4,cover_male_brazil_daliy4,Daily,Meet Your Dream Dog! 🐕,Your furry adventure buddy.,0,0,,,,,
F,-6,male_brazil_daliy5,cover_male_brazil_daliy5,Daily,Find Your Missing Link 🔗,The quest ends here.,0,0,,,,,
M,-6,male_brazil_daliy6,cover_male_brazil_daliy6,Daily,Your Soul's Mantra ✨,A tale inked within.,0,0,,,,,
G,-6,male_brazil_daliy8,cover_male_brazil_daliy8,Daily,What Dog Breed Is Your Soul? 🐶,"Furry instincts, human heart. 🦴",0,0,,,,,
H,-6,male_brazil_daliy9,cover_male_brazil_daliy9,Daily,What's Keeping You Single? 💔,Let's blame the stars. ✨,0,0,,,,,
F,-6,male_brazil_daliy15,cover_male_brazil_daliy15,Daily,What Kind of Villain Are You? 😈,Your darkness has a name.🖤,0,0,,,,,
F,-100,female_brazil_daily31,cover_female_brazil_daily31,Daily,Your Secret Weapon? 😏,Turn heads without trying.,0,0,,,,,
G,-6,female_brazil_daily32,cover_female_brazil_daily32,Daily,Who's Living in Your Head? 💭,Rent-free... and heart-deep.,0,0,,,,,
G,-100,male_brazil_daliy16,cover_male_brazil_daliy16,Daily,Where Do You Fall Apart? 💥,The little things that break you.,0,0,,,,,
I,-6,male_brazil_daliy17,cover_male_brazil_daliy17,Daily,Behind the Mask... 🎭,Discover who you really are.,0,0,,,,,
F,-6,male_brazil_daliy18,cover_male_brazil_daliy18,Daily,Whispers After Dark... 🌙,Listen — your soul speaks.,0,0,,,,,
G,-6,male_brazil_daliy19,cover_male_brazil_daliy19,Daily,Your Hardest Habit? ⛓️,We all have our demons.,0,1,,,,,
L,-4,female_test_love23,cover_female_test_love23,love,Someone knocks at your door at 2 a.m. 😏🔥Who？,You weren't expecting company… or were you?,0,0,"Your ex with ""unfinished business""",The neighbor who flirts too much,A stranger who knows your name,"Your best friend, acting weird",Just your food delivery—again
O,-4,female_test_daily33,cover_female_test_daily33,daily,Your bed knows everything. 🛏️🤫,What secrets does it hold?,0,0,Too many solo nights,Stolen kisses and regrets,"Accidental sleepovers, maybe",Dreams I don't admit,"Crumbs, shame, and Netflix"
G,-4,female_test_love24,cover_female_test_love24,love,What's the one temptation you always give in to? 🔮😮‍💨,Some things are just too hard to resist.,0,0,Midnight scrolling sessions,That one forbidden snack,"Old flames texting ""hey""",Skipping one more workout,"""Just looking"" turns into chaos"
M,-4,female_test_love25,cover_female_test_love25,love,You hear a voice calling your name in the dark. 👂🖤 Whose voice is it?,Some voices stay with you.,0,0,Someone long gone,Someone you never kissed,"Your own, sounding unsure",The one you avoid,Probably your fridge again
I,-11,female_test_daily34,cover_female_test_daily34,daily,What kind of energy always finds you after dark? ✨,The night has its favorites.,0,1,Overthinking mode,Risky texts,Quiet confidence,Wild ideas,Regret hangover
M,-4,female_test_daily35,cover_female_test_daily35,daily,Which workout makes you feel way too hot? 🏋️‍♂️🥵,The kind that burns... everything.,0,0,Leg day,Hot yoga,Core burnout,Stair sprints,Walking... to fridge
M,-11,male_test_love1,cover_male_test_love1,love,What's the most flirtatious thing you've done with dumbbells nearby? 🏋️‍♂️💘,Some reps come with extra tension.,0,1,Slow curls,Mirror flex,Shirt adjust,Eye contact,"Dropped weight—""oops"""
H,-4,female_test_love26,cover_female_test_love26,love,"A stranger types ""I miss you."" 😏",How do you text back?,0,0,"""Who is this?""","""Miss you too.""","""Stop texting me.""","""Nice try 😉""","""Wrong number, buddy."""
H,-4,female_test_love27,cover_female_test_love27,love,"""I know your secrets.""🤫",How do you text back?,0,0,"""What secrets?""","""You're lying.""","""Stop stalking me.""","""Say more.""","""K, creepy much?"""
M,-4,female_test_love28,cover_female_test_love28,love,The messages always arrive when you're most alone…,What do you think it means?,0,0,Someone cares deeply,Fate is playing games,It's just coincidence,Time to reflect,Phones love to troll
M,-4,female_test_love29,cover_female_test_love29,love,Your screen lights up. Just a name.,Who's it?,0,0,Alex — Ex,Jamie — Best Friend,Mom — Family,Boss — Work,Unknown — Spam
M,-4,female_test_love30,cover_female_test_love30,love,What's between you two? 🔥🧲,Describe your connection.,0,0,"Pure chemistry, no strings.",Complicated but irresistible pull.,"Just friends, nothing more.","Secret crush, unspoken feelings.","Awkward silence, no clue."
G,-4,female_test_love31,cover_female_test_love31,love,Someone keeps texting you late at night. You...,How do you react?,0,0,Ignore completely,Reply cautiously,Feel annoyed,Get curious,Block immediately
H,-4,female_test_love32,cover_female_test_love32,love,"They say ""We shouldn't."" You reply...",What's your text reply?,0,0,"""Why not, explain?""","""I don't care.""","""Maybe we should.""","""Let's risk it.""","""Good advice, lol."""
G,-89,female_test_love33,cover_female_test_love33,love,The last text was innocent... or was it?,What's your gut feeling?,1,0,Flirting with secrets,Hidden desire there,More than words,Testing my limits,Drama? Bring popcorn!
G,-4,male_test_love2,cover_male_test_love2,love,"If a woman takes the lead, how do you respond?",What's your reaction?,0,0,Loving the confidence,Feeling intrigued,Ready to follow,Slightly surprised,"Lost, send help!"
G,-4,female_test_love34,cover_female_test_love34,love,😏What's your secret weapon when trying to impress someone?,Pick your go-to move.,0,0,Smooth talk,Confident smile,Clever jokes,Genuine kindness,Just awkward charm
M,-4,female_test_love35,cover_female_test_love35,love,Which emoji best describes your flirting style?,Choose your vibe.,0,0,😘 (Playful kiss),😏 (Flirty smirk),🥰 (Adoring face),😈 (Cheeky devil),🙃 (Awkward charm)
G,-4,male_test_daily33,cover_male_test_daily33,daily,If you had to pick a car to impress someone…🚗🔥,Which ride do you choose?,0,0,Sleek sports car,Classic vintage ride,Luxury SUV,Electric and eco,"Your bike, obviously"
O,-4,female_test_daily36,cover_female_test_daily36,daily,If you could relive one day from your past…,Which day would it be?,0,0,First love moment,Biggest life success,Crazy fun party,Quiet peaceful day,The day you napped
G,-6,female_Thailand_daily1,cover_female_Thailand_daily1,food,Tap the food to find your Thai foodie soul! 🌟,Your taste buds never lie,0,1,,,,,
G,-101,female_Thailand_daily2,cover_female_Thailand_daily2,travel,Tap to unlock your sacred chaos 😇😈,Which Thai Temple Are You? ✨,0,1,,,,,
G,-101,female_Thailand_daily3,cover_female_Thailand_daily3,movie,Unlock Your Inner Drama or Character! 🎭🔥,Step into the spotlight of your story.,0,1,,,,,
G,-101,female_Thailand_daily4,cover_female_Thailand_daily4,love,Your Perfect Partner Awaits—Are They You? 💞,Find out the personality of your true love match! 🌟,0,1,,,,,
G,-101,female_Thailand_daily5,cover_female_Thailand_daily5,animal,"If You Were an Animal, Who'd You Be?",Find out which animal reflects your spirit!,0,1,,,,,
M,-6,female_Thailand_daily6,cover_female_Thailand_daily6,travel,What's Your Travel Index for the Year?✨,Your travel vibes are loading…,0,1,,,,,
G,-101,female_Thailand_daily7,cover_female_Thailand_daily7,love,Find out your perfect Mr. Right💖,Check your love vibes!,0,1,,,,,
M,-101,female_Thailand_daily8,cover_female_Thailand_daily8,wealth,Your Wealth Potential: Millionaire or Not?,Unlock your money mindset,0,1,,,,,
M,-6,female_Thailand_daily9,cover_female_Thailand_daily9,color,🔮 What's Your Psychic Soul Color?,Discover the mystical color of your soul,0,1,,,,,
G,-6,female_Thailand_daily10,cover_female_Thailand_daily10,festival,Your Perfect Festival Match Awaits! 🎊🌟,Discover your perfect Thai celebration! 🎉✨,0,1,,,,,
J,-101,female_Thailand_kpop1,cover_female_Thailand_kpop1,entertainment,Meet Your  K-Pop Twin…💃,"Your vibe, their fame",0,1,,,,,
I,-6,female_Thailand_kpop2,cover_female_Thailand_kpop2,entertainment,🎤Which Idol Type Are You?,From cute to chaotic,0,1,,,,,
G,-6,female_Thailand_kpop3,cover_female_Thailand_kpop3,entertainment,Unmask Your Toxic K-pop Heartthrob! 💔✨,You'll regret it… but you won't stop,0,1,,,,,
G,-100,female_Thailand_kpop4,cover_female_Thailand_kpop4,entertainment,Who's Your Idol Match?,Your K-pop twin in Thailand,0,1,,,,,
J,-101,female_Thailand_kpop5,cover_female_Thailand_kpop5,entertainment,🛍️ Your Weekend Plan？,Let your bias decide,0,1,,,,,
M,-99,female_Thailand_kpop6,cover_female_Thailand_kpop6,entertainment,What's Your K-pop Soft Power Style? 🌟🎵,What makes you irresistible?,0,1,,,,,
G,-101,female_Thailand_kpop7,cover_female_Thailand_kpop7,entertainment,What's your Fan Energy?,Your concert-day personality,0,1,,,,,
M,-6,female_Thailand_kpop8,cover_female_Thailand_kpop8,entertainment,How Strong Is Your Fan Spirit? 💫,Pick a phrase that matches you,0,1,,,,,
M,-101,female_Thailand_kpop9,cover_female_Thailand_kpop9,entertainment,Your K-pop Dating Energy…,Which MV matches your heart?,0,1,,,,,
M,-6,female_Thailand_kpop10,cover_female_Thailand_kpop10,entertainment,What's the Vibe You Bring On Stage? 🔥,What do fans feel?,0,1,,,,,
M,-5,female_test_daily37,cover_female_test_daily37,Daily,Tap the Duck to Reveal Your Savage Mood 🐥💅,How cold is your stare?,0,0,You're ice in mascara.,Silent but emotionally violent.,"Looks kill, and you know.",Smirk. Sip. Vanish. Repeat.,They deserved it anyway. 🫠
N,-5,female_test_daily38,cover_female_test_daily38,Daily,💖 Touch the Labubu to find your hidden personality!,What's your summer soul type?,0,0,Sweet summer soul.,Always ready for fun.,Just chilling by yourself.,Spreading good vibes.,My brain is on vacation.
M,-5,female_test_daily39,cover_female_test_daily39,Daily,Tap the heart to reveal your friendship style!,What kind of friend are you?,0,0,Always by your side.,Ready for any adventure.,Your biggest cheerleader.,Easygoing and chill.,Mostly here for the snacks.
M,-5,female_test_daily40,cover_female_test_daily40,Daily,👈 Pick A Side 👉 Your choice reveals a secret about you!,What is your love superpower?,0,0,Deep emotional connection.,You make everyone laugh.,Unwavering loyalty.,Understanding unspoken feelings.,Expert in overthinking everything.
M,-5,female_test_daily41,cover_female_test_daily41,Daily,✨ What's your inner pop star anthem? ✨,Reveal your personality anthem.,0,0,Chart-topping banger,Sweet love ballad,Upbeat dance hit,Indie chill track,Sound of your alarm
M,-5,female_test_daily42,cover_female_test_daily42,Daily,On Weekends we wear pink... but what's your true vibe?,Reveal your inner 'Mean Girl'.,0,0,"A loyal, true friend.",The life of the party.,Secretly judging everyone.,Smart and ambitious.,Just here for the drama.
M,-5,female_test_daily43,cover_female_test_daily43,Daily,🤫 This test knows your secret thought...,What's really on your mind?,0,0,Analyzing the situation.,Planning my next move.,Lost in a daydream.,Feeling others' emotions.,Thinking about next meal.
M,-5,female_test_daily44,cover_female_test_daily44,Daily,What's your 90s dating vibe? This kiss reveals it all!,Reveal your first love story.,0,0,"A sweet, classic romance.",Full of fun and drama.,A cute and shy crush.,"An intense, passionate love.",My VCR ate the tape.
M,-5,female_test_daily45,cover_female_test_daily45,Daily,😂 Thriving or just surviving? 😰 Pick a side to find your truth!,Your daily energy check-in.,0,0,Go with the flow.,Anxious but ambitious.,Chaotically getting things done.,A professional overthinker.,My brain has 100 tabs open.
M,-5,female_test_daily46,cover_female_test_daily46,Daily,Channel your inner Ari 💅 What's your star power?,Reveal your hidden star quality.,0,0,Effortless confidence.,A captivating voice.,Sweet but sassy charm.,Bold and unapologetic.,Powered by 3 hours sleep.
M,-5,female_test_daily47,cover_female_test_daily47,Daily,This test knows what your soul is craving... 🍊,Reveal your secret craving.,0,0,A burst of fresh energy.,A quiet moment of peace.,Creative time for yourself.,"A deep, meaningful connection.",For my expensive skincare to work.
M,-5,female_test_daily48,cover_female_test_daily48,Daily,😎 Are you chaotic chic or perfectly prepped?,Unpacking your personality type.,0,0,"Perfectly balanced, inside & out.","Fun, flirty, and spontaneous.",Trying my best to adult.,Everything has its place.,My lunch is usually coffee.
M,-97,female_test_daily49,cover_female_test_daily49,Daily,🔥 Cast Your Vote: Hot or Not?,Defining your unique vibe.,1,0,A crowd-pleasing favorite.,"Bold, unique, unforgettable.","The comforting, reliable choice.",A little bit of everything.,My opinions change daily.
M,-5,female_test_daily50,cover_female_test_daily50,Daily,✨ Youngest vs. Oldest ✨ We'll guess your soul's age!,Your soul's comfort food.,0,0,Young at heart.,An old soul.,Perfectly in between.,Wise but playful.,Just really hungry.
M,-5,female_test_daily51,cover_female_test_daily51,Daily,🍕 Build Your Dream Combo & We'll Guess Your Vibe!,Your ultimate cheat day.,0,0,Savory and social.,Sweet and cozy.,Cool and spontaneous.,Loves all the attention.,Making bad decisions.
M,-5,female_test_daily52,cover_female_test_daily52,Daily,🎀 What's Your Aesthetic Level?,Discover your true vibe.,0,0,A subtle hint.,Perfectly put together.,A total vibe.,Bold and balanced.,A beautiful mess.
M,-5,female_test_daily53,cover_female_test_daily53,Daily,🏝️ Villa or Palace? 👑 Your choice reveals your inner royalty!,Discover your dream lifestyle.,0,0,Modern and chic.,Classic and elegant.,Loves all things luxury.,Born for the spotlight.,Just want a day off.
M,-5,female_test_daily54,cover_female_test_daily54,Daily,🥀 This quiz knows your inner Lana Del Rey song...,Decoding your inner monologue.,0,0,Beautifully melancholic.,Old Hollywood glamour.,Romanticizing life.,Lost in thought.,Avoiding my problems.
I,-5,male_test_daily34,cover_male_test_daily34,Daily,Street Style or Soft Boy? 🖤✨ Your choice reveals your aura!,Pinpointing your charisma.,0,0,Effortlessly cool.,Quietly captivating.,Charms everyone.,Uniquely authentic.,Wears same hoodie.
M,-5,male_test_daily35,cover_male_test_daily35,Daily,This test reveals your secret superpower... 💥,Your go-to crisis mode.,0,0,Fiercely protective.,The clever planner.,Gruff but caring.,Ready for action.,Needs more coffee.
M,-6,male_test_daily36,cover_male_test_daily36,Daily,✅ or ❌? Your choice reveals your relationship type!,What's your relationship vibe?,0,0,Sweet and caring.,Mysterious and intense.,A perfect balance.,Loyal and protective.,Emotionally unavailable.
G,-6,male_test_daily37,cover_male_test_daily37,Daily,Bad Boy or Babysitter?  Your choice reveals your true self!,Decoding your heart of gold.,0,0,Witty and misunderstood.,The cool protector.,"Sarcastic, but sweet.",Fiercely loyal.,Just really tired.
M,-6,male_test_daily38,cover_male_test_daily38,Daily,Are you the drama? 🤫 This quiz knows for sure.,Pinpointing your relationship drama.,0,0,Intense and passionate.,Quietly observing.,The supportive friend.,Loves a little chaos.,Actively self-sabotaging.
M,-6,male_test_daily39,cover_male_test_daily39,Daily,🤔 This quiz knows what you're secretly overthinking...,Unpacking your inner monologue.,0,0,The near future.,Past conversations.,My own potential.,Life's big questions.,That one awkward thing.
O,-6,male_test_daily40,cover_male_test_daily40,Daily,Smash or Pass? Your choice reveals your secret craving! 😉,What's your true desire?,0,0,Sweet and simple.,Loves a daydream.,Wants it all.,Funny and charming.,Actually dead inside.
G,-6,male_test_daily41,cover_male_test_daily41,Daily,🥰 This picture reveals your secret love story...,Your secret romantic side.,0,0,A summer romance.,Sweet and charming.,A carefree crush.,Deeply loyal.,A little delusional.
G,-6,male_test_daily42,cover_male_test_daily42,Daily,Touch your ideal lover👉,Pinpointing your relationship style.,0,0,Sweet and loyal.,Artsy and deep.,Wild and adventurous.,Charming and chic.,"Happily single, thanks."
I,-6,male_test_daily43,cover_male_test_daily43,Daily,Modern Rebel or Classic Rogue?,What's your romantic downfall?,0,0,Misunderstood sad boy.,"Confident, charming rogue.",A man with secrets.,Loves a good project.,A walking red flag.
M,-6,female_test_daily55,cover_female_test_daily55,Daily,Devil or Mean Girl? 😈👑 We'll guess your inner boss!,Decoding your power move.,0,0,"Cool, calm, collected.",The social queen.,Knows their worth.,Secretly a softie.,Judges your outfit.
M,-6,female_test_daily56,cover_female_test_daily56,Daily,Gazing at the stars... ✨ What's your soul secretly wishing for?,Decoding your heart's true wish.,0,0,A grand adventure.,"True, passionate love.",Success and recognition.,A moment of peace.,To just be left alone.
M,-6,female_test_daily57,cover_female_test_daily57,Daily,This magical moment reveals your biggest dream! ✨,Your soul's greatest wish.,0,0,A new adventure.,"True, epic love.",Finding my purpose.,A creative dream.,I should've stayed home.
M,-6,female_test_daily58,cover_female_test_daily58,Daily,Light Magic or Earth Magic? ☀️🌳,This quiz knows your soul type.,0,0,Serene and graceful.,Wild and creative.,A mysterious soul.,Deeply intuitive.,Powered by caffeine & anxiety.
G,-6,female_test_daily59,cover_female_test_daily59,Daily,Build Your Dream Dessert,We'll Guess Your Core Personality! 🍨,0,0,Sweet and classic.,A pop of fun.,Fresh and vibrant.,A perfect mix.,I'm stressed.
M,-6,female_test_daily60,cover_female_test_daily60,Daily,Click this hair color to reveal your secret aesthetic 💅,Unlocking your inner aesthetic.,0,0,Soft and dreamy.,Bold and artistic.,Chic and minimal.,Vintage and cozy.,My five-minute-panic look.
M,-6,female_test_daily61,cover_female_test_daily61,Daily,Choose Your Goddess Archetype To Reveal Your Secret Power! 🔮,Decoding your inner goddess.,0,0,A gentle heart.,A wild spirit.,A perfect balance.,A wise soul.,Secretly a goblin.
M,-11,female_test_daily62,cover_female_test_daily62,Daily,This dreamy pic reveals what your soul is truly dreaming of... 💭,Decoding your inner dreamscape.,0,1,A beautiful escape.,A whirlwind romance.,"A quiet, peaceful moment.",A creative breakthrough.,Replaying every mistake I've ever made.
G,-98,female_test_daily63,cover_female_test_daily63,Daily,This Quiz Knows Your True 'Out Of Office' Vibe... 🍹,Your personality's 'on' vs 'off' mode.,1,0,Ready for fun.,Spontaneous and free.,Chilling and unbothered.,Perfectly chaotic.,My screen time alert.
L,-6,female_test_daily64,cover_female_test_daily64,Daily,Click these nails to reveal your hidden elegance ✨,Defining your inner grace.,0,0,Timeless and graceful.,A creative soul.,Calm and composed.,A romantic heart.,My nails are chipped.
L,-6,female_test_daily65,cover_female_test_daily65,Daily,Click this bag to reveal what you're secretly carrying... 👜,Unpacking your hidden self.,0,0,Effortless elegance.,Ambitious goals.,A well-kept secret.,A romantic heart.,A bunch of old receipts.
M,-6,female_test_daily66,cover_female_test_daily66,Daily,Click these hands to reveal your life's secret timing... ⏳,Unlocking your inner rhythm.,0,0,Perfectly on schedule.,Living in the moment.,Ahead of the curve.,Trusting the process.,"Five minutes late, eternally."
L,-7,male_test_daily44,cover_male_test_daily44,Game,Which Game Character Are You?,Find your inner avatar now! ⚔️,0,0,Fearless Warrior,Cunning Strategist,Stealth Assassin,Elemental Mage,NPC Nobody Notices
L,-7,male_test_daily45,cover_male_test_daily45,Game,"So, You Think You're a Pro at This Role? 🎮🔥",Discover your ultimate game character now!,0,0,Jungle Destroyer,Sniper King,Shadow Stalker,Tactical Grenadier,Professional Benchwarmer
K,-7,male_test_daily46,cover_male_test_daily46,Adventure,Are You the Ultimate Explorer?,Find your wild adventurer type now! 🔥,0,0,Brave Pathfinder,Treasure Seeker,Shadow Wanderer,Survival Expert,Lost in the Tutorial
M,-7,male_test_daily47,cover_male_test_daily47,Adventure,You're Lost in the Wild... Now What? 🌲🚶,Find out what will save you! 🔥🗺️,0,0,Survival Axe,Navigation Compass,Action Camera,All-Terrain Boots,A Map You Can't Read
F,-7,male_test_daily48,cover_male_test_daily48,Adventure,Test Your Fitness Buddy……😏,Who's your perfect workout match? 🔥,0,0,Dumbbell King,Yoga Mat Master,Resistance Bands Champ,Punching Bag Hero,Couch Fitness Expert
N,-7,male_test_daily49,cover_male_test_daily49,Personality,Your Hidden Powers Are Awakening! ⚡🔥,What's your true destiny?,0,0,Lightning Speed||||Faster than sound or sight.,Herculean Strength||||Crush boulders with bare hands.,Master Strategist||||Outsmart enemies in every battle.,"Shadow Assassin||||Invisible, swift, and deadly strikes.",Procrastination Champion||||Putting off greatness until... never.
N,-7,male_test_daily50,cover_male_test_daily50,Personality,Natural Landscape Represents Your Personality… 🌿🌋🌊,Find your reflection in nature's mirror!,0,0,"Sunny Grassland ||||Warm and cheerful, you bring comfort.","Calm Lake||||Quiet on the surface, deep within.","Fiery Volcano|||| Bold and passionate, just don't blow up!","Mystic Forest||||Mysterious and complex, always intriguing.",Desolate Desert||||Too independent to let others close.
N,-7,male_test_daily51,cover_male_test_daily51,Wealth,If You Suddenly Became Rich… 💰✨,Your first move says it all! 😎,0,0,Supercar Splurge||||Lamborghini? Maybe two.,Build a Man Cave||||Ultimate gaming + chill zone.,Buy Bitcoin (Again)||||You're the next crypto king.,"Go Off-Grid||||Private island, anyone?",Lose It All||||But you looked so cool doing it!
H,-7,male_test_daily52,cover_male_test_daily52,Wealth,Someone Gives You a Fortune… 💸✨ Who?,But who'd be that generous? 🤔,0,0,A Mysterious Tycoon,Your Boss,A Long-Lost Relative,Your Best Friend,Your Dreams
I,-7,male_test_daily53,cover_male_test_daily53,AI,AI Predicts Your Life in 10 Years! 🤖,You're winning or… still dreaming?,0,0,Billionaire Tycoon,Robot CEO,Life Dreamer,Couch potato,Busy bee
I,-7,male_test_daily54,cover_male_test_daily54,AI,Are You an AI Personality?,"Test your ""Artificial Intelligence"" index!",0,0,30% AI,50% AI,70% AI,90% AI,Totally a robot
N,-7,male_test_daily55,cover_male_test_daily55,Sport,Which Sports Star Will Inspire You? 🏀⚽,Hear their legendary words! 🔥✨,0,0,"Michael Jordan||||After failing, I still shoot.",Cristiano Ronaldo||||Dreams don't work without effort.,Kobe Bryant||||Hard work betrays none.,Neymar||||The secret is to believe in your dreams.,"Charles Barkley||||I'm not a role model, but I'm real."
O,-7,male_test_daily56,cover_male_test_daily56,Sport,Can You Succeed at Fitness? 🏋️💪,Let's find out your vibe! 🔥,0,0,Born to Be Fit,Sweating in Style,Trying but Thriving,Slow and Steady,Does Lifting Pizza Count?
O,-7,male_test_daily57,cover_male_test_daily57,Love,Does Your Crush Like You Back? ❤️🤔,Let's decode their feelings! 🔍,0,0,Dream Come True,Watching You,It's Complicated,Keep Trying,Likes Someone Else
O,-7,male_test_daily58,cover_male_test_daily58,Love,Tap Your Summer Girlfriend 💘,Super Accurate Love Test!,0,0,Beach Babe,Flirty Dancer,Fitness Guru,Gentle Artist,Sweet Foodie
M,-7,male_test_daily59,cover_male_test_daily59,Car,Click to Discover Your Ultimate Car Personality 🚗✨,✨ Super Fun Auto Quiz!,0,0,Speed Demon,Off-Road Adventurer,Classic Collector,Luxury Dreamer,Tech Trendsetter
I,-7,male_test_daily60,cover_male_test_daily60,Career,Find Your True Calling 🚀 Career Quiz!,Your Dream Job Awaits,0,0,Tech Visionary,Creative Genius,Health Care Hero,Eco Trailblazer,Procrastinator
N,-7,male_test_daily61,cover_male_test_daily61,Humor,What’s Your Emotional Support Habit?,"Coping strategies, but make them chaotic.",0,0,Endless scrolling||||Dooming your thumb one reel at a time.,Fake productivity||||Looking busy to avoid an existential crisis.,Talking to pets||||Because your cat never interrupts or judges.,Impulse shopping||||You felt sad. Now you have five boxes coming.,Aesthetic crying||||Tears + lighting = Oscar-worthy breakdown.
G,-7,male_test_daily62,cover_male_test_daily62,Food,🍔What's Your Ultimate Food Mood?,"From savage cravings to ""just one more bite.""",0,0,Meat sweats incoming,Pizza > Everything,Snack attack mode,"Grill it, bro",A bottle of water.
L,-89,male_test_daily63,cover_male_test_daily63,Life,What’s Your Ideal Beach Life?,"Sun, chill… and definitely hot girls.",1,0,Bikinis and beers,"Lying, not working",Grill. Chill. Girls.,Tan lines expert,Sunset surfer
L,-8,female_test_daily87,cover_female_test_daily87,Personality,A Tiny Detail Reveals Your Personality,How do you usually close a door?,0,0,Soft-Hearted Observer,Chaos But Capable,Zero Chill Energy,Overthinking Mastermind,Not Suspicious At All
L,-8,female_test_daily88,cover_female_test_daily88,Personality,Your Personality Lies in the Way You Wait,What do you do when someone's late?,0,0,Secretly Sensitive,Dreamy Overthinker,Anxious Action Type,Creative Escapist,Queen of Boundaries
K,-8,female_test_daily89,cover_female_test_daily89,Career,What Will Be Your Career Crown?,What's your first move at work?,0,0,Strategic Leader,Resilient Pro,Team Soul,Chaos Hero,Quiet Fixer
F,-8,male_test_daily64,cover_male_test_daily64,Entertainment,What Kind of Italian Brainrot Creature Are You?,Choose your creature combo.,0,0,Ballerina Cappuccina,Bombardiro Crocodilo,Chimanzini Bananini,Tralalero Tralala,Bombombini Gusini
H,-8,male_test_daily65,cover_male_test_daily65,Love,💘 Can You Win Your Crush’s Heart?,"She sends: ""I'm a little tired tonight.""How do you respond?",0,0,I know I'm just a friend.,You're a warm guy.,You know me.,Dangerous game.,……
M,-8,male_test_daily66,cover_male_test_daily66,Career,What Kind of Work Guy Are You?,Pick Your Favorite Tie Color,0,0,The Closer,The Harmonizer,The Shadow Leader,The Analyst,The Idea Guy
L,-8,female_test_daily90,cover_female_test_daily90,Career,💼💄 What’s Your Perfect Job?,Pick the meme that matches your mood.,0,0,Crisis Manager,Entrepreneur,Lawyer,Data Analyst,Creative Director
